pos_name,salary_low_bound,salary_high_bound,salary_fee_months,main_tech,pos_keyword,pos_domain,city,location,degree,exp,person_in_charge,charge_pos,pos_responsibility,pos_requirement,pos_detail,enterprise,enterprise_scale,create_time
高级java开发工程师,30.0,60.0,12,"Spring Boot,SpringBoot,Spring,PBR开发,商业信息化,R语言,Java,Golang","Spring Boot,SpringBoot,Spring,PBR开发,商业信息化,R语言,Java,Golang",,深圳,南山区,本科,5-10年,黄女士,招聘经理,,,,不停科技,A轮,2022-06-11 22:20:42
java开发,10.0,16.0,12,"MySQL,DB2,Oracle","MySQL,DB2,Oracle",,杭州,西湖区,大专,1-3年,王女士,,,,,软通动力,10000人以上,2022-06-11 22:20:42
Java高级/资深工程师（北京联合众为科技发展有限公司）,20.0,50.0,12,"Dubbo,架构设计,框架开发,框架设计,消息队列,Java","Dubbo,架构设计,框架开发,框架设计,消息队列,Java",,北京,海淀区,本科,5-10年,冀女士,教育主管,,,,中电太极(集团)有限公司,5000-10000人,2022-06-11 22:20:42
Java开发工程师,20.0,35.0,12,"java,数据库,html,web前端","java,数据库,html,web前端",,北京,,统招本科,经验不限,赵女士,HRBP,,,,完美世界,已上市,2022-06-11 22:20:42
java后端开发工程师,15.0,35.0,14,"java,后端开发,SpringBoot,微服务,大数据,分布式技术","java,后端开发,SpringBoot,微服务,大数据,分布式技术",,北京,昌平区,统招本科,3-5年,李先生,寻聘专员,,,,三一集团,10000人以上,2022-06-11 22:20:42
高级java工程师,10.0,20.0,12,"SpringBoot,Spring Boot,SpringMVC,框架设计,框架开发,前端开发,PBR开发,React,MySQL,Oracle","SpringBoot,Spring Boot,SpringMVC,框架设计,框架开发,前端开发,PBR开发,React,MySQL,Oracle",,重庆,渝北区,本科,5-10年,宣女士,,,,,长安民生物流,港股上市,2022-06-11 22:20:42
JAVA开发工程师,11.0,22.0,12,"系统开发,模块开发,框架开发,框架设计,SpringCloud,Mybatis,前端开发,电商领域,Redis,消息队列","系统开发,模块开发,框架开发,框架设计,SpringCloud,Mybatis,前端开发,电商领域,Redis,消息队列",,上海,浦东新区,统招本科,经验不限,任女士,,,,,普冷国际,500-999人,2022-06-11 22:20:42
Java软件工程师,8.0,13.0,12,"spring,java,mysql,数据库,hibernate,oracle,struts,jquery,javascript,css","spring,java,mysql,数据库,hibernate,oracle,struts,jquery,javascript,css",,上海,青浦区,大专,经验不限,张先生,招聘经理,,,,Heal Force,1000-2000人,2022-06-11 22:20:42
java开发工程师,10.0,20.0,12,"Spring,Java,MariaDB","Spring,Java,MariaDB",,武汉,,本科,3-5年,邓先生,软件开发工程师,,,,烽火通信,已上市,2022-06-11 22:20:42
资深java开发工程师,30.0,40.0,16,"模块开发,Spring,系统开发,Docker,Redis,D语言,C/C++,消息队列,C语言,容器","模块开发,Spring,系统开发,Docker,Redis,D语言,C/C++,消息队列,C语言,容器",,深圳,,统招本科,5-10年,宋女士,老师,,,,高奥士,100-499人,2022-06-11 22:20:42
java后端开发,14.0,16.0,12,"框架设计,框架开发,需求分析,MySQL","框架设计,框架开发,需求分析,MySQL",,深圳,南山区,大专,1-3年,邱女士,人事行政总监,,,,深圳市君和睿通科技股份有限公司,融资未公开,2022-06-11 22:20:42
Java软件开发工程师,8.0,20.0,12,"JVM,框架开发,框架设计,前端开发,Web开发,网络开发,Redis,MySQL,MongoDB","JVM,框架开发,框架设计,前端开发,Web开发,网络开发,Redis,MySQL,MongoDB",,广州,黄埔区,学历不限,经验不限,高女士,,,,,多益网络有限公司,2000-5000人,2022-06-11 22:20:42
java软件开发工程师,15.0,35.0,12,"java,mysql,数据库,oracle,sql,javascript","java,mysql,数据库,oracle,sql,javascript",,深圳,福田区,硕士,1-3年,张女士,招聘主管,,,,华泰期货,500-999人,2022-06-11 22:20:42
诺基亚java开发工程师（杭州）,8.0,15.0,12,"SQL,Oracle,Shell","SQL,Oracle,Shell",,杭州,滨江区,大专,1-3年,霍女士,,,,,上海瑞禾通讯技术有限公司,500-999人,2022-06-11 22:20:42
JAVA软件开发工程师,15.0,35.0,14,Eclipse,Eclipse,,北京,,硕士,3-5年,张先生,高级系统架构师 / 副所长,,,,三一集团,10000人以上,2022-06-11 22:20:42
java工程师,15.0,25.0,12,"Spring,Spring Boot,Spring Cloud,MySQL,云平台运维,架构师,后端开发,分布式技术","Spring,Spring Boot,Spring Cloud,MySQL,云平台运维,架构师,后端开发,分布式技术",,深圳,南山区,统招本科,3-5年,廖女士,招聘专员,,,,深圳华汇世纪集团有限公司,50-99人,2022-06-11 22:20:42
java开发工程师,15.0,34.0,13,"java,mysql,oracle,linux,javascript,shell,jenkins","java,mysql,oracle,linux,javascript,shell,jenkins",,广州,天河区,大专,经验不限,游先生,HR,,,,信必优,1000-2000人,2022-06-11 22:20:42
Java开发工程师,10.0,15.0,12,"Spring,框架设计,框架开发,架构设计,消息队列,SQL","Spring,框架设计,框架开发,架构设计,消息队列,SQL",,深圳,南山区,大专,1-3年,于先生,总经理,,,,深圳中科健安科技有限公司,融资未公开,2022-06-11 22:20:42
资深JAVA开发--项目负责人 (MJ001492),25.0,45.0,16,"分布式,spring,java,mysql,mybatis,数据库,redis,netty","分布式,spring,java,mysql,mybatis,数据库,redis,netty",,上海,,统招本科,5-10年,李先生,人力资源总监,,,,德邦证券,2000-5000人,2022-06-11 22:20:42
java研发工程师,30.0,50.0,12,"Java,架构设计,Spring Cloud,Spring,React,Vue,Redis,全栈开发,后端开发","Java,架构设计,Spring Cloud,Spring,React,Vue,Redis,全栈开发,后端开发",,上海,浦东新区,统招本科,经验不限,边先生,IT总监,,,,民生证券股份有限公司,2000-5000人,2022-06-11 22:20:42
java实习生,8.0,12.0,13,关系型数据库,关系型数据库,,深圳,南山区,本科,一年以下,张女士,人事行政经理,,,,华士精成,100-499人,2022-06-11 22:20:42
高级java开发工程师,15.0,30.0,12,"框架设计,框架开发,需求分析,人工智能领域,Java","框架设计,框架开发,需求分析,人工智能领域,Java",,南京,雨花台区,大专,5-10年,郑女士,高级招聘顾问,,,,海博拓天,2000-5000人,2022-06-11 22:20:42
Java,10.0,18.0,14,"JVM,SpringBoot,Spring Boot,IOS框架,Spring,Kafka,Redis","JVM,SpringBoot,Spring Boot,IOS框架,Spring,Kafka,Redis",,武汉,江汉区,本科,1-3年,武女士,招聘经理,,,,上海盒马网络科技有限公司,10000人以上,2022-06-11 22:20:42
JAVA,15.0,25.0,12,Java,Java,,深圳,南山区,学历不限,3-5年,汤女士,人事经理,,,,协卓软件,融资未公开,2022-06-11 22:20:42
java高级研发工程师,18.0,30.0,12,"spring,java,mybatis,linux,sql,git,系统架构","spring,java,mybatis,linux,sql,git,系统架构",,广州,天河区,统招本科,3-5年,龙先生,,,,,中国电信股份有限公司研究院,已上市,2022-06-11 22:20:42
Java开发工程师（双休 天河）,6.0,12.0,13,"java,javascript,css,html","java,javascript,css,html",,广州,,统招本科,1-3年,莫女士,人事行政,,,,华盟信息科技,融资未公开,2022-06-11 22:20:42
Java软件工程师,20.0,40.0,16,"Spring,前端开发,工业互联网,Maven,GIT","Spring,前端开发,工业互联网,Maven,GIT",,上海,浦东新区,统招本科,3-5年,方先生,HR,,,,三一集团,10000人以上,2022-06-11 22:20:42
