job_title,job_dq,job_tag,job_salary,job_labels,company,company_field,company_size,hr,hr_pos
高级JAVA开发工程师 (MJ000094),成都-武侯区,,10-15k,"5-10年,大专,Mybatis,Spring,电商领域,J2EE,RabbitMQ,Redis,Zookeeper,Kafka,MySQL,Java",富安娜家居,家具/家电,沪深A股上市,江女士,招聘主管
JAVA开发工程师 (MJ000093),深圳,,9-12k,"经验不限,大专",富安娜家居,家具/家电,沪深A股上市,江女士,招聘主管
java工程师,北京,,12-18k·14薪,"3-5年,本科,模块开发,JUnit,功能开发,Web开发,需求分析,Oracle,Tomcat,SQL,Shell",珠海汇金科技股份有限公司,金融科技,创业板上市,莫女士,招聘主管
Java技术主管,无锡-新吴区,,20-30k·13薪,"5-10年,本科,大数据领域,架构设计,系统开发,消息队列,Java,SQL,GIT",极熵数据,IT服务,A轮,周女士,人事专员
Java开发工程师,深圳,,13-20k,"3-5年,大专,Java,sql",兴融联股份,IT服务,新三板上市,罗女士,
java中高级开发工程师,南京,,16-30k·15薪,"3-5年,大专,模块开发,功能开发,框架设计,框架开发,SpringCloud,Spring,Mybatis,SpringMVC,系统开发,SpringBoot",天与养老,互联网+,A轮,郭女士,人力资源经理
Java RPA开发工程师,合肥-高新区,,9-15k·14薪,"1-3年,本科,IT/信息化领域,框架开发,框架设计,Redis,HTML,消息队列,MySQL",上海最会保网络科技有限公司,互联网金融,C轮,张女士,HRBP
Java开发-预算/合同/资产管理开发,东莞-长安镇,,10-20k,"3-5年,大专,源码,设计模式,Spring,Dubbo,Mybatis,微服务框架,redis,性能优化,Linux,资产管理系统",深圳千域时代科技有限公司,互联网/电商,50-99人,李女士,招聘经理
Java开发/运维开发,东莞-长安镇,,16-26k,"3-5年,大专,分布式系统,Springboot,Elasticsearch,ELK,监控,Linux,Java,运维",深圳千域时代科技有限公司,互联网/电商,50-99人,李女士,招聘经理
JAVA开发工程师,上海-静安区,,15-30k,"3-5年,统招本科,Java,JAVA数据库",名筑科技信息有限公司,B2B,1-49人,文女士,
java开发经理,北京-海淀区,,18-25k,"5-10年,大专,分布式,spring,java,mysql,mybatis,数据库,oracle,linux,struts,sql",北京宇信科技集团股份有限公司,IT服务,创业板上市,许女士,
Java资深开发工程师,上海-浦东新区,,15-25k,"3-5年,本科,spring,java,mybatis,数据库,hibernate,oracle,sql,jquery,javascript,html",赫比国际,电子/芯片/半导体,10000人以上,涂女士,人事
java开发工程师-UD项目,天津-东丽区,,12-24k,"经验不限,本科,spring,java,hibernate,oracle,sql,docker,jenkins",软通动力分支机构,互联网/电商,10000人以上,徐女士,猎头顾问
